CountryName,Region,Under5DeathsPer1000,FertilityRate
Afghanistan,South Asia,357.3,7.282
Albania,Europe & Central Asia,,6.455
Algeria,Middle East & North Africa,240.8,7.503
American Samoa,East Asia & Pacific,,
Andorra,Europe & Central Asia,,
Angola,Sub-Saharan Africa,,6.708
Antigua and Barbuda,Latin America & Caribbean,86.3,4.602
Argentina,Latin America & Caribbean,,3.075
Armenia,Europe & Central Asia,,4.786
Aruba,Latin America & Caribbean,,4.82
Australia,East Asia & Pacific,24.8,3.453
Austria,Europe & Central Asia,42.9,2.69
Azerbaijan,Europe & Central Asia,,5.878
"Bahamas, The",Latin America & Caribbean,,4.818
Bahrain,Middle East & North Africa,197.7,7.152
Bangladesh,South Asia,262.0,6.784
Barbados,Latin America & Caribbean,84.5,4.333
Belarus,Europe & Central Asia,,2.67
Belgium,Europe & Central Asia,33.8,2.54
Belize,Latin America & Caribbean,,6.5
Benin,Sub-Saharan Africa,309.2,6.282
Bermuda,North America,,3.51
Bhutan,South Asia,,6.704
Bolivia,Latin America & Caribbean,290.7,6.358
Bosnia and Herzegovina,Europe & Central Asia,,3.907
Botswana,Sub-Saharan Africa,166.4,6.628
Brazil,Latin America & Caribbean,169.6,6.061
British Virgin Islands,Latin America & Caribbean,83.6,5.162
Brunei Darussalam,East Asia & Pacific,122.5,6.836
Bulgaria,Europe & Central Asia,55.4,2.31
Burkina Faso,Sub-Saharan Africa,346.0,6.248
Burundi,Sub-Saharan Africa,,7.003
Cabo Verde,Sub-Saharan Africa,181.8,6.885
Cambodia,East Asia & Pacific,,6.251
Cameroon,Sub-Saharan Africa,278.6,5.647
Canada,North America,32.6,3.811
Cayman Islands,Latin America & Caribbean,,
Central African Republic,Sub-Saharan Africa,278.2,5.814
Chad,Sub-Saharan Africa,,6.25
Channel Islands,Europe & Central Asia,,2.27
Chile,Latin America & Caribbean,157.1,4.697
China,East Asia & Pacific,,4.451
Colombia,Latin America & Caribbean,134.9,6.735
Comoros,Sub-Saharan Africa,,6.792
"Congo, Dem. Rep.",Sub-Saharan Africa,,6.08
"Congo, Rep.",Sub-Saharan Africa,193.8,6.085
Costa Rica,Latin America & Caribbean,96.0,6.712
Cote d'Ivoire,Sub-Saharan Africa,318.3,7.691
Croatia,Europe & Central Asia,,2.232
Cuba,Latin America & Caribbean,54.0,4.129
Curacao,Latin America & Caribbean,,4.801
Cyprus,Europe & Central Asia,,3.512
Czechia,Europe & Central Asia,,2.09
Denmark,Europe & Central Asia,25.0,2.57
Djibouti,Middle East & North Africa,,6.828
Dominica,Latin America & Caribbean,138.4,6.866
Dominican Republic,Latin America & Caribbean,147.2,7.555
Ecuador,Latin America & Caribbean,174.7,6.721
"Egypt, Arab Rep.",Middle East & North Africa,317.8,6.794
El Salvador,Latin America & Caribbean,184.8,6.634
Equatorial Guinea,Sub-Saharan Africa,,5.653
Eritrea,Sub-Saharan Africa,,6.483
Estonia,Europe & Central Asia,,1.98
Eswatini,Sub-Saharan Africa,208.9,6.752
Ethiopia,Sub-Saharan Africa,,6.88
Faroe Islands,Europe & Central Asia,,
Fiji,East Asia & Pacific,78.7,6.461
Finland,Europe & Central Asia,26.8,2.72
France,Europe & Central Asia,28.5,2.85
French Polynesia,East Asia & Pacific,,5.888
Gabon,Sub-Saharan Africa,223.2,4.422
"Gambia, The",Sub-Saharan Africa,361.8,6.246
Georgia,Europe & Central Asia,,2.942
Germany,Europe & Central Asia,,2.37
Ghana,Sub-Saharan Africa,208.3,6.847
Gibraltar,Europe & Central Asia,,3.012
Greece,Europe & Central Asia,46.0,2.23
Greenland,Europe & Central Asia,,
Grenada,Latin America & Caribbean,101.5,6.743
Guam,East Asia & Pacific,,5.906
Guatemala,Latin America & Caribbean,221.9,6.955
Guinea,Sub-Saharan Africa,349.5,6.112
Guinea-Bissau,Sub-Saharan Africa,,5.921
Guyana,Latin America & Caribbean,92.0,6.372
Haiti,Latin America & Caribbean,290.4,6.208
Honduras,Latin America & Caribbean,208.6,7.458
"Hong Kong SAR, China",East Asia & Pacific,,5.067
Hungary,Europe & Central Asia,54.1,2.02
Iceland,Europe & Central Asia,21.5,4.29
India,South Asia,242.8,5.921
Indonesia,East Asia & Pacific,223.9,5.547
"Iran, Islamic Rep.",Middle East & North Africa,,7.301
Iraq,Middle East & North Africa,190.6,5.3
Ireland,Europe & Central Asia,35.3,3.78
Isle of Man,Europe & Central Asia,,2.875
Israel,Middle East & North Africa,42.0,3.866
Italy,Europe & Central Asia,52.0,2.4
Jamaica,Latin America & Caribbean,82.2,5.58
Japan,East Asia & Pacific,39.7,2.0
Jordan,Middle East & North Africa,155.2,7.669
Kazakhstan,Europe & Central Asia,,4.53
Kenya,Sub-Saharan Africa,197.2,7.632
Kiribati,East Asia & Pacific,199.2,6.553
"Korea, Dem. People's Rep.",East Asia & Pacific,,3.568
"Korea, Rep.",East Asia & Pacific,111.9,5.949
Kosovo,Europe & Central Asia,,6.359
Kuwait,Middle East & North Africa,141.9,7.162
Kyrgyz Republic,Europe & Central Asia,,5.376
Lao PDR,East Asia & Pacific,,6.292
Latvia,Europe & Central Asia,,1.94
Lebanon,Middle East & North Africa,75.3,5.818
Lesotho,Sub-Saharan Africa,185.9,5.819
Liberia,Sub-Saharan Africa,312.8,6.391
Libya,Middle East & North Africa,277.1,7.373
Liechtenstein,Europe & Central Asia,,
Lithuania,Europe & Central Asia,,2.56
Luxembourg,Europe & Central Asia,37.7,2.29
"Macao SAR, China",East Asia & Pacific,,4.933
Madagascar,Sub-Saharan Africa,,7.3
Malawi,Sub-Saharan Africa,,7.029
Malaysia,East Asia & Pacific,94.2,6.407
Maldives,South Asia,,6.804
Mali,Sub-Saharan Africa,,7.004
Malta,Middle East & North Africa,40.3,3.62
Marshall Islands,East Asia & Pacific,121.3,8.234
Mauritania,Sub-Saharan Africa,252.7,6.354
Mauritius,Sub-Saharan Africa,105.7,6.167
Mexico,Latin America & Caribbean,155.2,6.763
"Micronesia, Fed. Sts.",East Asia & Pacific,125.7,6.686
Moldova,Europe & Central Asia,,3.328
Monaco,Europe & Central Asia,,
Mongolia,East Asia & Pacific,,6.827
Montenegro,Europe & Central Asia,,3.498
Morocco,Middle East & North Africa,241.7,7.04
Mozambique,Sub-Saharan Africa,,6.315
Myanmar,East Asia & Pacific,,5.983
Namibia,Sub-Saharan Africa,,6.205
Nauru,East Asia & Pacific,,5.269
Nepal,South Asia,324.7,6.03
Netherlands,Europe & Central Asia,20.8,3.12
New Caledonia,East Asia & Pacific,,6.278
New Zealand,East Asia & Pacific,27.9,4.24
Nicaragua,Latin America & Caribbean,197.3,7.159
Niger,Sub-Saharan Africa,,7.53
Nigeria,Sub-Saharan Africa,,6.364
North Macedonia,Europe & Central Asia,,3.967
Northern Mariana Islands,East Asia & Pacific,,
Norway,Europe & Central Asia,22.6,2.85
Oman,Middle East & North Africa,370.2,7.247
