CountryName,Region,Under5DeathsPer1000,FertilityRate
Afghanistan,South Asia,57.8,4.75
Albania,Europe & Central Asia,9.4,1.4
Algeria,Middle East & North Africa,22.9,2.942
American Samoa,East Asia & Pacific,,
Andorra,Europe & Central Asia,2.8,
Angola,Sub-Saharan Africa,72.1,5.371
Antigua and Barbuda,Latin America & Caribbean,6.4,1.569
Argentina,Latin America & Caribbean,7.7,1.911
Armenia,Europe & Central Asia,11.3,1.575
Aruba,Latin America & Caribbean,,1.325
Australia,East Asia & Pacific,3.7,1.581
Austria,Europe & Central Asia,3.6,1.44
Azerbaijan,Europe & Central Asia,19.4,1.7
"Bahamas, The",Latin America & Caribbean,13.3,1.394
Bahrain,Middle East & North Africa,7.0,1.832
Bangladesh,South Asia,28.8,2.003
Barbados,Latin America & Caribbean,12.3,1.628
Belarus,Europe & Central Asia,2.9,1.474
Belgium,Europe & Central Asia,4.1,1.55
Belize,Latin America & Caribbean,11.7,1.999
Benin,Sub-Saharan Africa,86.0,5.048
Bermuda,North America,,1.4
Bhutan,South Asia,27.5,1.433
Bolivia,Latin America & Caribbean,25.6,2.651
Bosnia and Herzegovina,Europe & Central Asia,5.7,1.359
Botswana,Sub-Saharan Africa,36.3,2.836
Brazil,Latin America & Caribbean,14.7,1.649
British Virgin Islands,Latin America & Caribbean,10.9,0.976
Brunei Darussalam,East Asia & Pacific,11.5,1.796
Bulgaria,Europe & Central Asia,6.5,1.56
Burkina Faso,Sub-Saharan Africa,85.4,4.869
Burundi,Sub-Saharan Africa,54.6,5.177
Cabo Verde,Sub-Saharan Africa,14.2,1.908
Cambodia,East Asia & Pacific,25.8,2.381
Cameroon,Sub-Saharan Africa,72.4,4.543
Canada,North America,5.1,1.41
Cayman Islands,Latin America & Caribbean,,
Central African Republic,Sub-Saharan Africa,103.0,5.985
Chad,Sub-Saharan Africa,110.5,6.346
Channel Islands,Europe & Central Asia,,1.447
Chile,Latin America & Caribbean,6.9,1.537
China,East Asia & Pacific,7.4,1.281
Colombia,Latin America & Caribbean,13.3,1.737
Comoros,Sub-Saharan Africa,51.3,4.052
"Congo, Dem. Rep.",Sub-Saharan Africa,81.7,6.206
"Congo, Rep.",Sub-Saharan Africa,44.5,4.234
Costa Rica,Latin America & Caribbean,7.9,1.555
Cote d'Ivoire,Sub-Saharan Africa,77.3,4.472
Croatia,Europe & Central Asia,4.7,1.48
Cuba,Latin America & Caribbean,5.1,1.5
Curacao,Latin America & Caribbean,,1.4
Cyprus,Europe & Central Asia,2.8,1.328
Czechia,Europe & Central Asia,2.9,1.71
Denmark,Europe & Central Asia,3.7,1.68
Djibouti,Middle East & North Africa,56.0,2.848
Dominica,Latin America & Caribbean,35.6,1.597
Dominican Republic,Latin America & Caribbean,33.7,2.303
Ecuador,Latin America & Caribbean,12.9,2.051
"Egypt, Arab Rep.",Middle East & North Africa,19.6,2.96
El Salvador,Latin America & Caribbean,12.8,1.819
Equatorial Guinea,Sub-Saharan Africa,79.3,4.346
Eritrea,Sub-Saharan Africa,39.3,3.933
Estonia,Europe & Central Asia,2.1,1.58
Eswatini,Sub-Saharan Africa,56.2,2.89
Ethiopia,Sub-Saharan Africa,48.7,4.243
Faroe Islands,Europe & Central Asia,,2.323
Fiji,East Asia & Pacific,27.5,2.495
Finland,Europe & Central Asia,2.2,1.37
France,Europe & Central Asia,4.4,1.83
French Polynesia,East Asia & Pacific,,1.705
Gabon,Sub-Saharan Africa,41.0,3.548
"Gambia, The",Sub-Saharan Africa,49.6,4.777
Georgia,Europe & Central Asia,9.6,1.971
Germany,Europe & Central Asia,3.6,1.53
Ghana,Sub-Saharan Africa,45.5,3.623
Gibraltar,Europe & Central Asia,,1.855
Greece,Europe & Central Asia,3.9,1.39
Greenland,Europe & Central Asia,,2.019
Grenada,Latin America & Caribbean,16.4,2.023
Guam,East Asia & Pacific,,2.593
Guatemala,Latin America & Caribbean,23.8,2.484
Guinea,Sub-Saharan Africa,101.6,4.489
Guinea-Bissau,Sub-Saharan Africa,77.0,4.094
Guyana,Latin America & Caribbean,28.5,2.418
Haiti,Latin America & Caribbean,60.5,2.869
Honduras,Latin America & Caribbean,17.1,2.394
